id	bolum	en	tr
1068	Dialogs	Shared room	Ortak Derslik
1069	Dialogs	Other available classrooms	Farklı Derslik Seç
1075	Dialogs	Lessons/week	Haftalık Ders
1079	Dialogs	aSc Timetables	aSc k12 Bilişim Ders Planlama
1081	Dialogs	Use Wizard	Shirbazı Kullan
1082	Dialogs	Create blank	Boş Oluştur
1083	Dialogs	Open existing	Mevcut Ders Programını Aç
1084	Dialogs	New timetable:	Ders Programı Ekle :
1085	Dialogs	Classrooms	Derslikler
1086	Dialogs	Enter classrooms :	Tanımlı Derslikler
1087	Dialogs	New	Yeni
1090	Dialogs	Generate	Otomatik Oluştur
1092	Dialogs	Classroom	Derslik
1094	Dialogs	Home classroom :	Sınıfın Dersliği:
1095	Dialogs	Classroom name :	Dersliğin Adı :
1097	Dialogs	Shared room	Ortak Derslik
1098	Dialogs	Classroom selection	Dersliklerin Seçimi
1100	Dialogs	Select classrooms :	Derslikleri Seçiniz:
1101	Dialogs	Group	Grup
1102	Dialogs	Title :	Adı
1103	Dialogs	Joint teachers	Birleşik Öğretmenler
1108	Dialogs	Joint classes	Birleşik Sınıflar
1119	Dialogs	Caption :	İsim:
1120	Dialogs	Available	Uygun
1121	Dialogs	Conditional	Şartlı
1122	Dialogs	Not available	Uygun Olmayan
1123	Dialogs	Use left and right mouse buttons to set.	Farenin Sol Ve Sağ Tuşu İle Durumları Değiştirebilirsiniz
1125	Dialogs	Generate timetable	Ders Planını Oluştur
1126	Dialogs	To generate timetable press the 'Generate timetable' button.	Ders Planını Oluşturmak İçin 'Ders Planını Oluştur' Tuşuna Basın
1127	Dialogs	Verify specification	Kontrol Et
1128	Dialogs	Press the 'Verify Specification' button, to verify specification. The program lets you know the possible problems in the specification.	Girdiğiniz Bilgileri Kontrol Etmek İçin 'Kontrol Et' Tuşuna Basınız. Olabilecek Hatalara Karşı Program Sizi Uyaracaktır
1129	Dialogs	Generating the timetable	Ders programı oluşturuluyor...
1130	Dialogs	Cancel	İptal
1131	Dialogs	Progress :	Durum:
1133	Dialogs	Finish	Son
1134	Dialogs	Bell times	Zil
1136	Dialogs	Start	Başlat
1137	Dialogs	The End	Bitiş
1138	Dialogs	Double-click on the lesson you wish to edit.	Güncellemek İstediğiniz Dersi Çift Tıklayınız
1139	Dialogs	Number from 1	1 Den İtibaren Numaralandırın
1140	Dialogs	Application	Uygulama
1142	Dialogs	Lesson :	Ders :
1144	Dialogs	Hour	Saat
1145	Dialogs	Min.	Dakika
1149	Dialogs	View	Görünüm
1150	Dialogs	Monday	Pazartesi
1151	Dialogs	Tuesday	Salı
1152	Dialogs	Wednesday	Çarşamba
1153	Dialogs	Thursday	Perşembe
1154	Dialogs	Friday	Cuma
1155	Dialogs	Saturday	Cumartesi
1156	Dialogs	Sunday	Pazar
1157	Dialogs	Days displayed	Gösterilen Günler
1158	Dialogs	Classes displayed	Gösterilen Sınıflar
1159	Dialogs	Number of lessons	Silinecek Ders Sayısı
1160	Dialogs	View :	Görünüm :
1161	Dialogs	Define views	Görünümleri Tanımla
1162	Dialogs	Views :	Görünümler:
1164	Dialogs	Edit	Güncelle
1166	Dialogs	Name of the school :	Okulun Adı
1167	Dialogs	Academic year :	Öğretim Yılı / Tebliğ Sayısı:
1168	Dialogs	Timetable for days of week	Eğitim Öğretim Günleri
1176	Dialogs	Periods per day:	Günlük Ders Saati:
1178	Dialogs	Division	Gruplar
1179	Dialogs	Group %1 :	Grup %1
1185	Dialogs	Class :	Sınıf:
1186	Dialogs	Types of subjects	Derslerin Türleri
1187	Dialogs	Type of subject :	Dersin Türü:
1190	Dialogs	Type of subject	Dersin Türü
1192	Dialogs	Define divisions	Grupları Tanımla
1195	Dialogs	Edit	Güncelle
1197	Dialogs	Tip of the day	Günün İpucu
1198	Dialogs	&Show tips on startup	İpuçalarını Başlangıçta Göster
1199	Dialogs	&Next tip	Sonraki İpucu
1200	Dialogs	&Close	Kapat
1201	Dialogs	Remove timetable	Bilgi! Sadece Kart Yerleşmeleri Temizlenecek
1203	Dialogs	Unlocked cards	Kilitli Kartların Yerleşimi İptal Edilmesin
1204	Dialogs	Unlocked and locked cards	Tüm Kartların Yerleşimi İptal Et
1205	Dialogs	Move to pending cards :	Planlama Temizleme Şeklini Seçiniz
1206	Dialogs	Teacher / Constraints	Öğretmen / Detaylar
1209	Dialogs	Contract :	Toplam Ders Saati
1210	Dialogs	Maximum number of windows in timetable :	En Fazla
1211	Dialogs	Number of days taught by teacher :	Kısıtlama: Ders Günü
1212	Dialogs	Limit number of windows in timetable per week	Bir Haftadaki Toplam Boş Ders Sayısını Sınırla
1213	Dialogs	Limit number of days	Ders Günlerinin Sayısını Sınırla
1214	Dialogs	Here you can limit number of days, when the teacher should teach. Generator finds the days in the given number.	Burada Öğretmenin Ders Verebileceği Günleri Sınırlayabilirsiniz. Program Sınıra Göre Öğretmenin Günlerini Kısıtlar
1215	Dialogs	E.g. The teacher has three windows in the timetable if he has a 2nd and then 6th lesson.	Örneğin, 2. ve 6. Ders Arası Boş İse Boşluk 3'dür
1216	Dialogs	Set for more	Tümüne Uygula
1217	Dialogs	Max. number of consecutive periods:	Ardışık Derslerin Maksimum Sayısı:
1218	Dialogs	Limit number of consecutive lessons	Ardışık Derslerin Sayısını Sınırlandır
1219	Dialogs	This parameter limits the number of consecutive periods taught by the teacher.	Bu Parametre Öğretmenin 1 Günde Verebileceği Ders Sayısını Sınırlar
1220	Dialogs	The teacher cannot have a 3 windows in one day.	Bir Günde 3 Saatten Fazla Boş Ders Olamaz.
1221	Dialogs	The teacher must have lesson every day	Öğretmenin Her Gün Dersi Olsun
1222	Dialogs	The teacher cannot have a 2 windows in one day.	Bir Günde 2 Saatten Fazla Boş Ders Olamaz.
1223	Dialogs	Export to HTML	HTML Formatına Aktar
1224	Dialogs	Export !	Aktar !
1232	Dialogs	List the teacher	Öğretmeni Listele
1233	Dialogs	List the group	Grubu Listele
1234	Dialogs	List the classroom	Dersliği Listele
1235	Dialogs	List the class	Sınıfı Listele
1238	Dialogs	Verification of the specification	Bilgi Girişi Kontrolü
1239	Dialogs	Possible faults in timetable specification :	Bilgi Girişindeki Muhtemel Hatalar:
1240	Dialogs	Statistics	İstatistik
1241	Dialogs	Teachers:	Öğretmenler:
1242	Dialogs	Classes:	Sınıflar:
1243	Dialogs	Total no. of windows:	Pencerelerin Toplam Sayısı:
1244	Dialogs	Cards:	Kartlar:
1245	Dialogs	Teachers with max. windows:	Sıkışık Öğretmenler:
1246	Dialogs	Average no. of windows:	Ortalama Pencere Sayısı:
1247	Dialogs	Max. window:	En Çok Pencere Sayısı:
1248	Dialogs	Unfinished teachers:	Tamamlanmamış Öğretmenler:
1249	Dialogs	Pending cards:	Yerleştirilmemiş Ders Bloğu:
1250	Dialogs	Minutes taught:	Ders Verilen Dakikalar:
1253	Dialogs	Windows:	Pencereler:
1261	Dialogs	Misplaced cards:	Yanlış Yerleştirilen Kartlar:
1262	Dialogs	Faulty	Hatalı
1263	Dialogs	Max. windows for teacher:	Öğretmenin Maksimum Pencere Sayısı:
1264	Dialogs	Windows for teacher	Öğretmenin Pencereleri
1265	Dialogs	Teachers with max. no. of windows:	Sıkışık Öğretmenler:
1266	Dialogs	Count	Toplam Saat
1267	Dialogs	Timetable generated:	Ders Planı Oluşturuldu:
1268	Dialogs	Last updated:	Son Güncelleme:
1269	Dialogs	Verification of the timetable	Planlama Kontrolü
1270	Dialogs	Lessons placed in a position not recommended	Tavsiye Edilmeyen Yerlere Yerleştirilmiş Dersler
1271	Dialogs	Lessons placed in a position not permitted	İzin Verilmeyen Yerlere Yerleştirilmiş Dersler
1272	Dialogs	Remove those not recommended	Tavsiye Edilmeyenleri Sil
1273	Dialogs	Remove those not permitted	İzin Verilmeyenleri Sil
1274	Dialogs	Pending lessons :	Yerleştirilmemiş Dersler:
1275	Dialogs	State	Durum
1276	Dialogs	Description	Tanımlama
1277	Dialogs	Action	Hareket
1279	Dialogs	Lessons not yet assigned to a classroom	Dersliği Belirtilmemiş Dersler
1280	Dialogs	Remove those not yet assigned	Dersliği Belirtilmemiş Dersleri Sil
1281	Dialogs	Detailed verification	Detaylı Kontrol
1283	Dialogs	Lessons of class	Seçili Sınıfın Dersleri
1289	Dialogs	Printing area	Yazdırma Alanı
1291	Dialogs	Timetable of each class separately	Her Sınıfı Ayrı Ayrı
1294	Dialogs	Summary timetable of classrooms	Toplu Çarşaf Liste : Derslikler
1295	Dialogs	Timetable for each classroom	Tablo Olarak : Derslikler
1297	Dialogs	All	Tümü
1298	Dialogs	Selection	Seçim
1300	Dialogs	All	Tümü
1311	Dialogs	Wall poster	Genel Program
1312	Dialogs	Wall poster of classes	Sınıfların Genel Programı
1313	Dialogs	Wall poster of teachers	Öğretmenlerin Genel Programı
1314	Dialogs	Wall poster of classrooms	Dersliklerin Genel Programı
1315	Dialogs	Number of pages:	Sayfaların Sayısı:
1316	Dialogs	height	Yükseklik
1317	Dialogs	width	Genişlik
1318	Dialogs	Week:	Hafta:
1319	Dialogs	4 -> 1 page	4 Ü 1 Sayfada
1322	Dialogs	Print lessons of teachers	Öğretmenin Girdiği Dersler
1323	Dialogs	2 -> 1 page	2 Si 1 Sayfada
1324	Dialogs	Style	Bilgi
1325	Dialogs	Print unused classrooms	Boş Derslikleri Yazdır
1327	Dialogs	Print the caption of teachers	Öğretmenlerin ... Yazdır
1329	Dialogs	Class selection	Sınıf Seçimi
1331	Dialogs	Select classes :	Sınıf Seç:
1332	Dialogs	Teacher selection	Öğretmen Seçimi
1334	Dialogs	Select teachers :	Öğretmenleri Seç:
1335	Dialogs	Parameters	Parametreler
1336	Dialogs	Complexity of generation	Planlama Çalışma Süresi
1337	Dialogs	Full and divided lessons cannot be the same day.	Grup Dersler, Varsa Tam Dersler Aynı Gün Olamaz
1338	Dialogs	Allow the generator to place lessons on 0th period	0. Saate Ders Ver
1339	Dialogs	Check full/divided lessons	Tam/Grup Dersleri Kontrol Et
1340	Dialogs	Generate different timetables	Planlama Öncesi Yerleşim Temizlensin
1341	Dialogs	Check distribution	Dağılımı Kontrol Et
1342	Dialogs	Check exhaustion	Ardışık Ders Sayısı Sınırı
1343	Dialogs	Check windows of teachers	Haftalık Boş Ders Sayısı Kontrol Edilsin !
1345	Dialogs	Set default	Varsayılan
1346	Dialogs	A different timetable is generated every time. We recommend enabling this option .	Otomatik Planlamada Her Zaman Yeni Planlama Oluşturulur. Bunu Tavsiye Ederiz.
1347	Dialogs	Divided lessons may not be on both sides of the full lesson.	Grup Dersler, Varsa Tam Dersin Önceki/Sonraki Gününde Olamaz
1348	Dialogs	Small	Küçük
1349	Dialogs	Normal	Normal
1350	Dialogs	Large	Yüksek
1351	Dialogs	Huge	Çok Yüksek
1352	Dialogs	Max. number of consecutive periods taught by teachers that are not limited explicitly in the teachers' 'constraints' dialog.	Öğretmen Kısıtlama Tanımlanmaış İse Ardışık Ders Sayısı En Fazla Yandaki Değer Ayarlansın. Bu Ayar Planlama İşlemini Zorlaştır !
1359	Dialogs	License	Lisans Girişi
1360	Dialogs	About	Hakkında
1361	Dialogs	School :	Okulun Adı
1362	Dialogs	License	Lisans
1363	Dialogs	About Timetables	aSc k12 Bilişim Ders Planlama Hakkında
1364	Dialogs	Registered:	Kayıtlı Kullanıcı:
1365	Dialogs	Technical support	Teknik Destek
1367	Dialogs	Information about aSc Timetable software, as well as information about other products and activities of aSc company, we gladly provide you at the address :	K12 Bilişim Hakkında Bilgi ve K12 Bilişimin Diğer Ürünleri
1368	Dialogs	Timetable testing	Planlama Öncesi Veri Kontrol ve Analiz İşlemi
1369	Dialogs	Timetable test :	Ders Programı Kontrol
1370	Dialogs	Warning !	Dikkat !
1371	Dialogs	Always show warning on startup	Her Zaman Başlangıçta Uyarıyı Göster
1372	Dialogs	Unassigned cards	Dağıtılmamış Kartlar
1373	Dialogs	Card information	Bilgi Kartı
1374	Dialogs	Detailed information:	Detaylı Bilgi:
1376	Dialogs	First week	1. Hafta
1377	Dialogs	Second week	2. Hafta
1378	Dialogs	Third week	3. Hafta
1379	Dialogs	Fourth week	4. Hafta
1380	Dialogs	Fifth week	5. Hafta
1381	Dialogs	Sixth week	6. Hafta
1382	Dialogs	Class details	Sınıf Detayları
1383	Dialogs	Preparation	Hazırlık
1384	Dialogs	Max. number of lessons per day requiring preparation	Max.Günde Hazırlanabilecek Ders Sayısı
1385	Dialogs	Allow arrival on second lesson.	2. Derste Gelmesine İzin Ver
1387	Dialogs	New relationship	Dersleri Seçin
1388	Dialogs	Select subjects	Dersleri Seçin
1389	Dialogs	Change classes	Sınıfları Değiştirin
1390	Dialogs	Two subjects cannot be placed on the same day	Dersler Aynı Gün Yerleştirilemez
1391	Dialogs	They cannot be placed consecutively on the same day	Dersler Aynı Gün Ardarda Yerleştirilemez
1392	Dialogs	They needn't be distributed equably over the week.	Onların Hafta Boyunca Dengesiz Dağılımı Gerekmez
1393	Dialogs	They needn't fulfill condition about the succession of the full and divided lessons.	Onların Tam ve Bölünmüş Derslere İlgili Ardarda Gelmesi Koşulunu Yerine Getirmesi Gerekmez
1395	Dialogs	Condition :	Durum:
1396	Dialogs	Classes :	Sınıflar
1397	Dialogs	Subjects :	Dersler
1398	Dialogs	All	Tümü
1400	Dialogs	Card relationships	Planlama İlişkileri
1401	Dialogs	Add	Ekle
1402	Dialogs	Edit	Düzen
1403	Dialogs	Remove	Sil
1404	Dialogs	Subject selection	Ders Seçimi
1406	Dialogs	Select subject :	Ders Seçin:
1407	Dialogs	Recommended classrooms for particular subject	Belirli Bir Ders İçin Önerilen Sınıflar
1408	Dialogs	Set for all lessons of this subject	Dersin Tanımlanmış Kartlarına Uygula
1410	Dialogs	Shared classrooms	Paylaşılan Derslik
1414	Dialogs	Set classrooms for lessons of this subject	Tanımlanmış Derslerin Dersliklerini Güncelle
1415	Dialogs	Replace :	Değiştir:
1416	Dialogs	Add :	Ekle :
1418	Dialogs	Assign recommended classrooms to the set of available classrooms for this lesson.	Bu dersin tanımlı kartlarına ilave derslik olarak ekle.
1419	Dialogs	Conditions	Koşullar
1420	Dialogs	Tutorial/Demo	Tanıtım Ve Öğrenme
1421	Dialogs	Introduction	Genel Sistem Tanıtımı
1422	Dialogs	Enter subjects/classes/classrooms	Dersleri / Sınıfları / Derslikleri Tanımlama
1423	Dialogs	Enter teachers/lessons	Öğretmenleri Ve Dersleri Tanımlama
1424	Dialogs	Generate the timetable	Ders Programını Planlama
1425	Dialogs	Edit the timetable	Programda Manuel Müdahale İşlemleri
1427	Dialogs	Print the timetable	Ders Programını Yazdır
1429	Dialogs	Print setup	Yazıcı Ayarları
1438	Dialogs	Print in color	Renkli Baskı
1439	Dialogs	Background	Arka Plan
1440	Dialogs	Main text	Ana Metin
1441	Dialogs	Text around	Metin Etrafı
1447	Dialogs	New absent	Yeni Ekle
1449	Dialogs	Who is absent:	Kim Devamsız
1450	Dialogs	Why is he/she absent:	Devamsızlık Nedeni
1451	Dialogs	When is he/she absent:	Devamsızlık Tarihi
1452	Dialogs	from	Başlangıcı
1453	Dialogs	Longtime absence	Uzun Süre Devamsız
1454	Dialogs	Entire day	Tüm Gün
1455	Dialogs	Part of the day :	Saatlik
1456	Dialogs	till	Bitiş Saati
1457	Dialogs	From:	Başlangıç
1458	Dialogs	Till:	Bitiş
1459	Dialogs	Type of substitution	Yerleştirme Türü
1461	Dialogs	Type :	Tür:
1463	Dialogs	Note :	Not:
1464	Dialogs	Reason of the absence	Devamsızlık Nedeni
1466	Dialogs	Reason:	Tamam:
1471	Dialogs	Duty	Görev
1472	Dialogs	Cannot substitute	Yerini Alamaz
1474	Dialogs	Substitution	Değiştirme
1476	Dialogs	Cancelled	İptal Ediliyor
1477	Dialogs	Absenting :	Devamsız:
1481	Dialogs	Substituting :	Değiştiriliyor:
1483	Dialogs	Type of substitution :	Değiştirme Türü:
1486	Dialogs	Continue	Devam
1487	Dialogs	Do you wish to cancel generating or finish solving quickly?	Planlama İşlemi Geçici Olarak Durduruldu ?
1488	Dialogs	Finish solving quickly	Taslak Olarak Bitir
1490	Dialogs	Work with the program	Program Yapmak
1491	Dialogs	Further information	Program Hakkında
1492	Dialogs	Registration	Lisans
1493	Dialogs	Full version of aSc Timetables. Program is not registered. All features except export to HTML and Excel are available. The printouts from unregistered version contain a watermark.	Tam Sürüm aSc k12 Ders Planlama Programı. Program Lisanslı Değildir
1494	Dialogs	Selection of substitution timetable	Ders Programının Yerleştirmesi İçin Seçim
1495	Dialogs	Select timetable	Ders Programını Seç
1496	Dialogs	New	Yeni
1497	Dialogs	By another timetable	Diğer Ders Programı İle
1498	Dialogs	Timetable for substitution from :	Ders Programı İçin Yerleştirme:
1501	Dialogs	Duties and time-off	Görev ve Kapalı Zaman
1502	Dialogs	Timetable	Planlama / Yerleştirme
1503	Dialogs	Day :	Gün:
1504	Dialogs	Cycle :	Döngü :
1506	Dialogs	Option 'By another timetable' use also schools with multi-week timetable.	'Başka Bir Ders Programı İle' Seçeneğini, Birden Çok Haftalık Ders Programına Sahip Okullarda Kullanabilirsiniz
1507	Dialogs	Cycle specifies, which week will be chosen for the substitution, if it contains multi-week timetable.	Döngü, Çoklu Hafta (Haftalara Göre Farklılaşan) Ders Programı İçeriyorsa, Yer Değiştirme İçin Seçilecek Olan Haftayı Belirtir
1508	Dialogs	Select timetable, which will be used for substitutions.	Yer Değiştirmeler İçin Kullanılacak Ders Programı Seçin
1509	Dialogs	Print - the summary of absenting teachers.	Devamsız Öğretmenlerin Özetini Yazdır
1510	Dialogs	Print	Yazdır
1514	Dialogs	Period :	Periyot :
1515	Dialogs	Columns:	Sütunlar:
1517	Dialogs	Print - summary of substitution	Yazdır - Yerine Yerleştirilenlerin Özetini
1528	Dialogs	Period :	Periyot:
1529	Dialogs	Assign	Atamak
1530	Dialogs	Criterion	Kriter
1531	Dialogs	Teaches the class	Sınıftaki Öğretmen/ler
1532	Dialogs	Class teacher	Sınıf Öğretmeni
1533	Dialogs	Approbation	Branşı
1534	Dialogs	Exhaustion	En Fazla Ardışık Ders
1535	Dialogs	Joining	Katılma
1538	Dialogs	Equable substitution	Dengeli Dağılım
1539	Dialogs	Set the default values	Standart Ayarları Uygula
1540	Dialogs	Criteria description	Kriterlerin Açıklaması
1541	Dialogs	Warning displayed if the program is closed with pressing Esc	Programda Kapalı İse Esc Tuşuna Basarak Uyarı Görüntülenir
1542	Dialogs	Tooltip and text help	İpucu ve Metin Yardımı
1543	Dialogs	Substitution for days	Günler İçin Yerleştirme
1551	Dialogs	Show on startup :	Başlangıçta Göster :
1552	Dialogs	Teachers, who absent today	Öğretmenlerden, Bugün Kim Yok
1553	Dialogs	Teachers, who will absent tomorrow	Öğretmenlerden, Yarın Kim Olmayacak
1554	Dialogs	List time (date), when the substitution was printed	Zaman (Tarih) Listesi, Değişikliği Yazdırılmıştır
1555	Dialogs	Do not reduce size of letters in cells. If the text does not fit into the cell, use the abbreviation instead of it.	Hücrelerindeki Harflerin Boyutunu Küçültmeyin.Metin Hücre İçine Sığmazsa, Bunun Yerine Kısaltma Kullanabilirsiniz
1556	Dialogs	Table of substitutions	Yerleştirme Tablosu
1557	Dialogs	Table of substitutions for students	Öğrenciler İçin Yerleştirme Tablosu
1558	Dialogs	Visible	Görünür
1559	Dialogs	Till	Bitiş
1560	Dialogs	From	Başlangıç
1561	Dialogs	Text in information for students :	Öğrenciler İçin Bilgi Yazısı:
1562	Dialogs	Criteria description	Kriterlerin Açıklaması
1563	Dialogs	Class teacher, Teaches class, Approbation, Joining, Duty	Sınıf Öğretmeni, Öğretmenin Sınıfı, Onama, Katılma, Görev
1564	Dialogs	If the teacher fulfills some of the listed criteria, he/she automatically receives points for this criterion.	Öğretmen Listelenen Bazı Kriterleri Yerine Getirirse, Kız/Erkek Otomatik Olarak Bu Kriterler İçin Puan Alır.
1567	Dialogs	The criterion 'Position' represents position of substituting lesson in the day schedule of the teacher.	'Konum' Kriteri, Öğretmenin Günlük Programına Ders Konulmasını Konumu Temsil Eder
1569	Dialogs	The teacher receives the amount of points, that equals to the number of substituting lessons in the last month multiplied by weight of the criterion.	Öğretmen Kriterinin Ağırlığı İle Çarparak, Geçen Ay Konulan Ders Sayısına Eşit Puan Miktarı Alır
1571	Dialogs	Note :	Not:
1572	Menu	&File	Dosya İşlemleri
1573	Menu	&New Ctrl+N	&Yeni Ctrl+N
1574	Menu	&Open ... Ctrl+O	&Aç ... Ctrl+O
1575	Menu	&Printer setup	&Yazıcı Ayarları
1576	Menu	Last files	Son Dosyalar
1577	Menu	E&xit	&Son
1578	Menu	&Options	&Arayüz Ayarları
1579	Menu	&Settings	&Genel Bilgiler
1580	Menu	Types of subjects	Derslerin Türleri.
1581	Menu	Tutorial/Demo	Tanıtım Ve Öğrenme
1582	Menu	&Info	&Bilgi Kartı
1583	Menu	Technical support	Teknik Destek
1588	Menu	&Save Ctrl+S	&Kaydet Ctrl+S
1589	Menu	Save &as	Farklı Kaydet
1590	Menu	P&rinting area	Baskı Alanı
1591	Menu	&Print ... Ctrl+P	&Yazdır ... Ctrl+P
1592	Menu	P&rint preview	Ön İzleme
1594	Menu	Send	E-Mail Gönder
1597	Menu	&Edit	&Düzen
1598	Menu	Specification	Tanımlama İşlemleri
1599	Menu	Wizard	Sihirbaz
1600	Menu	&Subjects	&Dersler
1601	Menu	&Classes	&Sınıflar
1602	Menu	Class&rooms	Sınıflar
1603	Menu	&Teachers	&Öğretmenler
1606	Menu	Choose	Seçim
1607	Menu	Whole	Sınıflar
1608	Menu	Week	Hafta
1609	Menu	Define	Görünüm
1611	Menu	Test the timetable	Planlama Öncesi Kontrol
1612	Menu	Generate new	Planlama Robotunu Çalıştır.
1613	Menu	Improve	İyileştirme Uygula
1614	Menu	Finish Solving	Son Çözüm
1615	Menu	Parameters	Parametreler
1616	Menu	Verification	Planlama Sonrası Kontrol
1617	Menu	Assign classrooms	Dersliklere Atama
1618	Menu	Lock	Kart Kilitle
1619	Menu	Unlock	Kilit Aç
1620	Menu	Remove timetable	Tabloyu Temizle
1624	Menu	&Window	&Pencere
1625	Menu	&New window	&Yeni Pencere
1626	Menu	&Cascade	&Kademeli
1627	Menu	&Tiles	&Karolar
1628	Menu	&Arrange icons	Simgeleri Yerleştir
1630	Menu	&Info	&Lisans Bilgi Kartı
1632	Menu	Are you sure you want to remove the subject ?	Dersi Silmek İstediğinizden Eminmisiniz?
1633	Menu	No fields were selected !	Bir Kayıt Seçiniz!
1634	Menu	Are you sure you want to remove the class ?	Sınıfı Silmek İstediğinizden Eminmisiniz?
1635	Menu	Name	Tam Adı
1637	Menu	Are you sure you want to remove the teacher ?	Öğretmeni Silmek İstediğinizden Eminmisiniz?
1640	Menu	Length	Uzunluk
1643	Menu	Entire class	Bütün Sınıf
1645	Menu	Double	İkili
1646	Menu	Triple	Üçlü
1647	Menu	Short	Kısa Kodu
1648	Menu	Are you sure you want to remove the lesson ?	Dersleri Silmek İstediğinizden Emin Misiniz?
1649	Menu	Classroom	Derslik
1652	Menu	Shows tip of the day.	Günün İpucunu Göster
1653	Menu	&Tip of the day	&Günlük İpucu
1654	Menu	Did you know,	Biliyor Muydunuz,
1656	Menu	MONDAY	PAZARTESİ
1657	Menu	TUESDAY	SALI
1658	Menu	WEDNESDAY	ÇARŞAMBA
1659	Menu	THURSDAY	PERŞEMBE
1660	Menu	FRIDAY	CUMA
1661	Menu	SATURDAY	CUMARTESİ
1662	Menu	SUNDAY	PAZAR
1663	Menu	Are you sure you want to abort ?	İptal Etmek İstediğinizden Emin Misiniz?
1664	Menu	Subject	Ders
1666	Menu	Class	Sınıf Adı
1669	Menu	Wizard : Step %1 of %2	Sihirbaz: %1/%2
1680	Menu	Settings	Ayarlar
1681	Menu	Home classroom	DERSLİK-
1682	Menu	View 1	Görünüm 1
1684	Menu	Changes	Değişiklikler
1685	Menu	Wizard : Step 8 of 8	Sihirbaz : 8/8
1686	Menu	Basic data	Genel Bilgiler
1687	Menu	Free	Serbest
1688	Menu	Girls	Kızlar
1689	Menu	Boys	Erkekler
1690	Menu	Group 1	Grup 1
1691	Menu	Group 2	Grup 2
1701	Menu	Are you sure you want to remove all unlocked cards in the timetable ?	Ders Programındaki Kartlar Kilitlenmemiştir. Silmek İstediğinizden Eminmisiniz?
1702	Menu	Are you sure you want to lock all placed cards ?	Tüm Kartları Kilitlemek İstediğinizden Emin Misiniz?
1703	Menu	Are you sure you want to unlock all cards ?	Tüm Kart Kilitlerini Açmak İstediğinizden Emin Misiniz?
1704	Menu	Are you sure you want to remove all cards in the timetable ?	Ders Programındaki Tüm Kartları Kaldırmak İstediğinizden Emin Misiniz?
1706	Menu	Unlock	Kilidi Aç
1707	Menu	Lock	Kart Kilitle
1708	Menu	Info	Bilgi Kartı
1709	Menu	Exporting to HTML. Please wait	HTML Ye Gönderiliyor. Lütfen Bekleyin
1711	Menu	No lesson can be placed here	Burada Yerleşmeyen Ders Yok
1712	Menu	Delete row	Satırı Temizle
1713	Menu	Lock row	Satırdaki Kartları Kilitle
1714	Menu	Please check at least one day of week.	Lütfen, Haftanın En Az Bir Gününü Kontrol Edin
1715	Menu	Verifying specification. Please wait.	Şartlar Doğrulanıyor. Lütfen Bekleyin
1716	Menu	No faults detected in the specification.	Şartname İçinde Hata Tespit Edilmedi
